Username,Date,Tweet Text,Hashtags,Mentions
news38,"Sep 20, 2018",واقعاً خسته شدم. شب‌غروب پارک ائل‌گلی سمنان بازم متلک جنسی شنیدم. دختر قربانی بوده. ساعات شب خطر آزار جنسی بالاتره. فضای عمومی اصلاً امن نیست.,پارک_ناامن,
maryam_women,"Jan 23, 2026",آمار نشان می‌دهد تهدید جنسی ساعت ۲۱ شب در بیمارستان بوشهر بیشتر رخ می‌دهد. قربانیان عمدتاً زن هستند. در تاریکی شب آزارگران جرأت بیشتری دارن. محیط کاری ناامن است.,بوشهر,
iranintlsport,"Nov 15, 2022",خبرورزشی به نقل از یک شاهد عینی مدعی «تجاوز جنسی گروهی» دو ورزشکار و یک مربی ایرانی به یک زن در کره جنوبی، شده است: «این زن از حمام اتاق ورزشکاران ایرانی برای پلیس لوکیشن می‌فرست. ورزشکاران مدعی می‌شوند تنها مورد سوم به زور بوده و بقیه با رضایت بوده.» خبرورزشی به نقل این شاهد https://t.co/wnbhmUo4b5,,
sara6054,"Mar 20, 2018",منابع امنیتی: ساعت ۸ صبح در ایستگاه اتوبوس شهر زنجان مردی مورد سوت زدن و متلک قرار گرفته. متهم دستگیر شده. فکر نکنید فقط شب‌ها آزار اتفاق می‌افته.,حقوق_زنان,
mhd6034,"Oct 27, 2026",نکنه من تنها کسی هستم که پیش از ظهر حدود ساعت ۱۰ در اتوبوس شهر بیرجند خیره شدن جنسی شده؟ در ساعات روز هم این اتفاق‌ها میفته. زنها باید قوی‌تر باشن.,,
watch191,"May 02, 2022",خبر: موتورسوار به اتهام آزار جنسی کلامی کودک خیابان برلین بازداشت شد. ماجرا پیش از ظهر اتفاق افتاده. فضای عمومی باید برای همه امن باشه.,خیابان_ناامن,
zahra825,"Oct 18, 2025",منابع امنیتی: ساعت ۱۵ بعدازظهر در سالن سینما مشهد زن جوانی مورد نزدیک شدن ناخواسته قرار گرفته. متهم دستگیر شده. در ساعات روز هم این اتفاق‌ها میفته.,,
hamid809,"Jun 21, 2021",روایتی از سوت زدن و متلک در تهران: ظهر حدود ساعت ۱۲ کلانتری تهران پسری مورد آزار قرار گرفت. روزها هم آزار جنسی خیلی زیاده. متهم هنوز دستگیر نشده. https://t.co/330beb5,تهران,
javadimr,"Jul 30, 2020",بیش از نیمی از زنان در تهران تجربه بوق زدن ماشین‌ها و ۴۰٪تجربه متلک شنیدن را داشته‌اند.۱۵٪ هم تجربه لمس به عنوان آزار داشته‌اند. تجاوز انتهای زنجیره‌ای است که ابتدایش مردی است که به خود حق نگاه خیره و بوق زدن به هر زنی در خیابان را می‌دهد. #آزار_جنسی را جدی بگیریم، #ساکت_نباشیم.,"آزار_جنسی,ساکت_نباشیم",
right291,"Aug 17, 2020",پلیس از بازداشت متهم تفقی زن خبر داد. حادثه ساعت ۱۲ ظهر در مدرسه دخترانه شاهرود رخ داده. در ساعات روز هم این اتفاق‌ها میفته.,,
NasehMohi,"Nov 06, 2023",اگر به زنی در خیابان شلوغ تعرضی کلامی یا فیزیکی شود، از نظر اکثر زنان و مردانی که می‌بینند بهترین کار این است که زن از محل دور شود. زن هم آرزو دارد بتواند فرار کند. البته اقلیتی دوست دارند بماند و نگاه کنند. این مسیر پرورش متجاوز است، زن باید گزینه‌ای بهتر از فرار داشته باشد!,,
tehran5919,"Jun 16, 2024",نمیدونم چی بگم. عصر حدود ساعت ۱۷ در پارک مشهد مهاجم بهم تهدید جنسی کرد. مکان‌های عمومی شهر ناامن هستند. با شروع تاریکی امنیت کمتر میشه.,,
hamid9300,"Oct 01, 2021",قربانی آزار در برابر جنسی در اتوبوس شهر مشهد تعریف می‌کنه: ظهر حدود ساعت ۱۲ بودم که ناگهان مسافر مرد... روزها هم آزار جنسی خیلی زیاده. فضای عمومی باید برای همه امن باشه.,,news508
parvin9136,"Dec 02, 2017",#آزار_بس! ساعت ۲۳ نیمه‌شب کلانتری تهران زن مسافری دنبال کردن شد. در تاریکی شب آزارگران جرأت بیشتری دارن. محیط کاری باید امن‌تر بشه.,زن_زندگی_آزادی,
life_shirin,"Jul 03, 2018",فضای عمومی برای زنان ناامنه. همین بعدازظهر فروشگاه کرمانشاه زنی عکسبرداری ناخواسته شد. در ساعات روز هم این اتفاق‌ها میفته.,زن_زندگی_آزادی,
persian5665,"Mar 16, 2025",نکنه من تنها کسی هستم که شب حدود ساعت ۲۱ در هتل رشت آزار جنسی کلامی شده؟ شب وقت بیشترین گزارش‌های آزار جنسی هست. دخترها باید قوی‌تر باشن.,,
TomHagan__,"Dec 24, 2025",خبرنگار کسکش تعجب میکنه از اینکه تو یک سال ۷ بار این زن آزار دیده. ما که هیچ‌هایکینگ هوکر نیستیم هم برامون غریب نیست این عدد. یعنی تو ایران که رسما مالیده میشدیم تو خیابون و اتوبوس حدود ساعت ۵، بیش از ۷ بار در سال. حالا این چون هوکر بوده مرد کسکش اجازه میداده به خودش که بهش تجاوز کنه,,
hossein784,"Nov 19, 2025",روایتی از نگاه خیره جنسی در قم: صبح حدود ساعت ۸ در مترو شهر قم زنی مورد آزار قرار گرفت. در ساعات روز هم این اتفاق‌ها میفته. متهم هنوز دستگیر نشده.,امنیت_زنان,
mashhad401,"Jan 04, 2022",تا کی باید محیط کاری نگران امنیت باشیم؟ آخرین مورد: ظهر در شرکت شهر مرند دانشجوی نزدیک شدن ناخواسته شده. فکر نکنید فقط شب‌ها آزار اتفاق می‌افته.,آزار_محل_کار,
arenapersian,"Jan 29, 2023",روزنامه بریتانیایی گاردین در گزارشی به گسترش نافرمانی مدنی زنان در ایران در برابر حجاب اجباری پرداخته است. در استانبول,,
ali134,"Apr 12, 2022",ساعت ۸ صبح تاکسی تبریز آزار جنسی کلامی رو تجربه کردم. چرا باید سکوت کنم؟. روزها هم آزار جنسی خیلی زیاده.,آزار_جنسی,
HazharAlipour83,"Sep 26, 2022","آگاهیِ جمعی مردم بعدازظهر در آسانسور، پروژه‌ی انحرافِ شعارها توسط باندهای ""سپاهی—سلطنتی"" را به شکستی مفتضحانه کشانده است. ۱/۱ #زن_زندگی_آزادی #نه_به_فاشیسم #مرگ_بر_دیکتاتور","زن_زندگی_آزادی,نه_به_فاشیسم,مرگ_بر_دیکتاتور",
mina41,"Feb 22, 2024",هر روز ترس بیشتر. صبح در بیمارستان شهر کلن آلمان متلک جنسی شدم. فکر نکنید فقط شب‌ها آزار اتفاق می‌افته. در محل کار و تحصیل آزار جنسی نباید نادیده گرفته بشه.,,
mehdi.mhd,"Sep 28, 2022",دیروز بعدازظهر حدود ساعت ۱۵ استخر رشت مورد نزدیک شدن ناخواسته قرار گرفتم. یک نگهبان بدون هیچ ترس در ساعات روز هم این اتفاق‌ها میفته. تا کی باید تحمل کنیم؟,رشت,
report579,"Mar 05, 2023",قربانی نزدیک شدن ناخواسته در کلانتری همدان تعریف می‌کنه: نیمه‌شب بودم که ناگهان مسئول بازداشتگاه... بعد از غروب آفتاب امنیت زنان کاهش می‌یابه. در محیط کاری باید قوانین سخت‌گیرانه‌تری باشه.,زن_زندگی_آزادی,
persian3551,"May 09, 2023",شکایت دانشجو از رئیس به اتهام تهدید جنسی در محل کار خمینی‌شهر ثبت شد. ماجرا ساعت ۱۰ پیش از ظهر رخ داده. محیط سازمانی باید امن‌تر بشه.,آزار_محل_کار,
nazi381,"Feb 09, 2023",بر اساس گزارش‌ها، سوت زدن و متلک در قم بعدازظهر حدود ساعت ۱۵ در در دانشگاه شهر قم رو به افزایش است. روزها هم آزار جنسی خیلی زیاده. محیط سازمانی باید امن‌تر بشه.,,
mohsen752,"Oct 20, 2022",#آزار_بس! صبح حدود ساعت ۸ استخر زاهدان دختری آزار جنسی فیزیکی شد. فکر نکنید فقط شب‌ها آزار اتفاق می‌افته. مکان نیمه‌عمومی باید امن‌تر بشه.,,
mashhad1099,"Nov 23, 2019",شکایت زن جوان از مرد به اتهام آزار جنسی کلامی خیابان خرم‌آباد ثبت شد. ماجرا ساعت ۱۵ بعدازظهر رخ داده. در اماکن عمومی هیچ نظارتی نیست.,آزار_جنسی,
tehran993,"Jun 13, 2024",تا کی باید فضای عمومی نگران امنیت باشیم؟ آخرین مورد: ساعت ۱۵ بعدازظهر در تاکسی مشهد دختر جوانی نگاه خیره جنسی شده. حتی روشنای روز هم جلوی آزار رو نمی‌گیره.,,
hamid184,"Sep 15, 2024",هر روز ترس بیشتر. ساعت ۲ ساعات پایانی شب در زندان شیراز متلک جنسی شدم. شب‌ها امنیت برای زنان خیلی کمتره. در محل کار و تحصیل آزار جنسی نباید نادیده گرفته بشه.,,"farhi3760,maryam4478"
mhd_hamid,"Feb 28, 2026",باز هم خبر نگاه خیره جنسی! این بار شب‌غروب در پارک دانشجو خرم‌آباد. قربانی زن جوان بوده. شب‌ها امنیت برای زنان خیلی کمتره. تا کی فضای عمومی ناامن باشه؟ https://t.co/508e264,آزار_جنسی,
parvin6925,"Feb 19, 2026",باز هم خبر دنبال کردن! این بار نیمه‌شب حدود ساعت ۲۳ تاکسی کرج. قربانی زن بوده. شب‌ها امنیت برای زنان خیلی کمتره. تا کی فضای عمومی ناامن باشه؟,,
tehran489,"Apr 27, 2024",گزارش: ظهر حدود ساعت ۱۲ درمانگاه بندرعباس حادثه نگاه خیره جنسی رخ داد. قربانی زن و متهم پرستار مرد بوده. در محل کار و تحصیل آزار جنسی نباید نادیده گرفته بشه. حتی روشنای روز هم جلوی آزار رو نمی‌گیره.,بندرعباس,
justice3717,"Nov 08, 2021",ادعانامه علیه مهاجم که شب حدود ساعت ۲۱ در پارک برلین مرتکب نزدیک شدن ناخواسته شده صادر شد. قربانی دختر بوده. فضای عمومی باید برای همه امن باشه.,آزار_جنسی,
zahra331,"Aug 05, 2025",واقعاً متاسفم. پیش از ظهر حدود ساعت ۱۰ در پارک کرج نگاه خیره جنسی اتفاق افتاد و قربانی زن بود. حتی روشنای روز هم جلوی آزار رو نمی‌گیره. فضای عمومی باید برای همه امن باشه.,پارک_ناامن,
ali646,"Nov 23, 2023",جنبش علیه آزار جنسی فیزیکی: ساعت ۱۹ شب‌غروب در بی‌آرتی شیراز تجمعی برگزار شد. ساعات شب خطر آزار جنسی بالاتره. فضای عمومی باید پایان داده بشه به این آزارها.,حقوق_زنان,
nazi_nazi,"Nov 23, 2019",بازداشت متهم تفقی در تبریز. حادثه صبح حدود ساعت ۸ در اتوبوس تبریز رخ داده. قربانی زن مسافر گزارش داده. فضای عمومی باید برای همه امن باشه.,,sara589
hope2126,"Jan 13, 2026",#آزار_بس! شب در تاکسی اینترنتی شهر کرمانشاه دختری سوت زدن و متلک شد. در تاریکی شب آزارگران جرأت بیشتری دارن. فضای عمومی باید امن‌تر بشه.,آزار_جنسی,
farsi9100,"Aug 09, 2026",دیروز ظهر حدود ساعت ۱۲ در ایستگاه مترو تهران مورد نزدیک شدن ناخواسته قرار گرفتم. یک مرد بدون هیچ ترس حتی روشنای روز هم جلوی آزار رو نمی‌گیره. تا کی باید تحمل کنیم؟,مترو_ناامن,
hope463,"Mar 25, 2020",واقعاً خسته شدم. ساعت ۲۳ نیمه‌شب خیابان امامت اصفهان بازم دنبال کردن شنیدم. زن مسافر قربانی بوده. شب وقت بیشترین گزارش‌های آزار جنسی هست. فضای عمومی اصلاً امن نیست.,"آزار_جنسی,زن_زندگی_آزادی",
narges9033,"Jun 17, 2018",قربانی آزار جنسی فیزیکی دانشگاه مشهد تعریف می‌کنه: صبح بودم که ناگهان استاد... روزها هم آزار جنسی خیلی زیاده. محیط سازمانی باید امن‌تر بشه.,آزار_بس,
tehran499,"Feb 05, 2024",حکم محکومیت استاد به جرم خیره شدن جنسی دختر صادر شد. حادثه صبح حدود ساعت ۸ دانشگاه لرستان رخ داده. محیط سازمانی باید امن‌تر بشه. https://t.co/388b430,,
mhd933,"May 15, 2020",شکایت دختر جوان از همکار به اتهام تماس فیزیکی ناخواسته در شرکت اصفهان ثبت شد. ماجرا ساعت ۱۲ ظهر رخ داده. در محیط کاری باید قوانین سخت‌گیرانه‌تری باشه.,آزار_محل_کار,
Homozereshk,"Jun 28, 2024","بایدن امروز به ترامپ گفته ""که هیچ رئیس‌جمهوری در تاریخ ما مرتکب چنین جنایاتی نشده است... شما باید چند میلیارد دلار جریمه مدنی بپردازید، به جرم آزار و اذیت یک زن در اماکن عمومی و رابطه جنسی با یک بازیگر فیلم‌های پورن در شب باردار شدن همسرتان، اخلاقی مانند اخلاق گربه ولگرد دارید»",,
life7124,"Mar 05, 2021",بعدازظهر پارک ارومیه تماس فیزیکی ناخواسته رو تجربه کردم. خیلی‌ها مثل من سکوت می‌کنن چون می‌ترسن. روزها هم آزار جنسی خیلی زیاده.,ارومیه,
salamcinama,"Apr 30, 2023",After The Hunt  (10 اکتبر) جولیا رابرتز در این درام لوکا گوادانینو نقش استاد دانشگاهی را بازی می‌کند که پس از افشای یک پرونده تجاوز جنسی در دانشگاه، با پیامدهای آن روبه‌رو می‌شود صبح. https://t.co/XuhcBhbDYJ,,
narges749,"Dec 16, 2023",آمار آزار جنسی کلامی در رشت نگران‌کننده است. آخرین مورد ساعت ۱۲ ظهر در دانشگاه رشت رخ داده. روزها هم آزار جنسی خیلی زیاده.,آزار_جنسی,
mashhad9663,"Nov 07, 2024",تا کی باید فضای عمومی نگران امنیت باشیم؟ آخرین مورد: ساعت ۱۰ پیش از ظهر در بی‌آرتی شهر زنجان زنی عکسبرداری ناخواسته شده. در ساعات روز هم این اتفاق‌ها میفته.,,
report683,"Mar 26, 2018",هر روز ترس بیشتر. ساعت ۲۳ نیمه‌شب در تاکسی شهر بجنورد اظهارنظر جنسی شدم. شب وقت بیشترین گزارش‌های آزار جنسی هست. در اماکن عمومی هیچ نظارتی نیست.,"آزار_جنسی,تاکسی_ناامن",
shirin1408,"May 13, 2022",بازداشت متهم نزدیک شدن ناخواسته در مشهد. حادثه صبح در بی‌آرتی مشهد رخ داده. قربانی زن گزارش داده. فضای عمومی باید برای همه امن باشه.,,
persian473,"Mar 15, 2024",کسی دیگه هم ساعت ۱۹ شب‌غروب پارک رشت خیره شدن جنسی رو تجربه کرده؟ زنها در تاریکی شب آزارگران جرأت بیشتری دارن. فضای عمومی باید جدی‌تر گرفته بشه.,پارک_ناامن,
tehran370,"Dec 07, 2026",حکم محکومیت مسافر مرد به جرم اظهارنظر جنسی زن شاغل صادر شد. حادثه ساعت ۲۳ نیمه‌شب در تاکسی تهران رخ داده. فضای عمومی باید برای همه امن باشه.,تاکسی_ناامن,"mehdi2655,narges1733"
free361,"Feb 01, 2025",دیروز صبح در اداره پلیس شهر کرج مورد تجاوز جنسی قرار گرفتم. یک پلیس بدون هیچ ترس روزها هم آزار جنسی خیلی زیاده. تا کی باید تحمل کنیم؟,آزار_بس,ahmad_farsi
amir470,"Jan 16, 2021",باز هم خبر نزدیک شدن ناخواسته! این بار بعدازظهر حدود ساعت ۱۵ شرکت مشهد. قربانی زن بوده. حتی روشنای روز هم جلوی آزار رو نمی‌گیره. تا کی محیط کاری ناامن باشه؟,آزار_محل_کار,nazi110
Taheri_Movement,"Dec 06, 2023",سازمان عفو بین‌الملل روز چهارشنبه ششم دسامبر، ۱۵ آذر با انتشار گزارش جدید خود، اعمال آزار، خشونت و آزار جنسی سیستماتیک و نظام‌مند علیه معترضان توسط ماموران انتظامی، امنیتی و اطلاعاتی در جریان خیزش سراسری #زن‌_زندگی_آزادی در #ایران را تایید کرده است. #عفو_بین‌الملل مرتکبان خشونت نیمه‌شب در ونکوور،,"زن,ایران,عفو_بین",
parvin_hossein,"Oct 25, 2025",آمار نشان می‌دهد آزار جنسی کلامی شب‌غروب حدود ساعت ۱۹ در مجتمع تجری اصفهان بیشتر رخ می‌دهد. قربانیان عمدتاً مرد هستند. شب‌ها امنیت برای زنان خیلی کمتره. فضای عمومی ناامن است.,زن_زندگی_آزادی,"sara72,news_mina"
watch947,"Aug 07, 2021",نیمه‌شب حدود ساعت ۲۳ در منزل تبریز نزدیک شدن ناخواسته رو تجربه کردم. این بار شکایت کردم. در تاریکی شب آزارگران جرأت بیشتری دارن.,آزار_جنسی,
zahra8807,"Jan 28, 2025",هر روز ترس بیشتر. صبح در پارک شهر تبریز تماس فیزیکی ناخواسته شدم. در ساعات روز هم این اتفاق‌ها میفته. فضای عمومی باید برای همه امن باشه.,,"zahra624,mohsen680"
student8145,"Sep 15, 2025",وقتی پیش از ظهر مترو اهواز متلک جنسی اتفاق می‌افته و کسی واکنش نشون نمیده، فکر نکنید فقط شب‌ها آزار اتفاق می‌افته. همه مسئولیم فضای عمومی رو امن‌تر کنیم.,اهواز,
hamid1132,"Jun 20, 2023",پلیس از بازداشت متهم دنبال کردن زن خبر داد. حادثه ساعت ۸ صبح در سوپرمارکت شهر سنندج رخ داده. حتی روشنای روز هم جلوی آزار رو نمی‌گیره.,,"iran_farsi,light490"
parvin212,"Aug 12, 2025",گزارش: صبح در آپارتمان ونکوور حادثه دنبال کردن رخ داد. قربانی زن و متهم همسایه بوده. حتی در خانه هم امنیت نیست. فکر نکنید فقط شب‌ها آزار اتفاق می‌افته.,,
news6399,"Jul 05, 2025",پلیس از بازداشت متهم دنبال کردن کودک خبر داد. حادثه صبح در ایستگاه مترو شهر تهران رخ داده. روزها هم آزار جنسی خیلی زیاده.,آزار_جنسی,
tehran9341,"Apr 21, 2016",قربانی نگاه خیره جنسی در راهروی مدرسه لرستان تعریف می‌کنه: ساعت ۸ صبح بودم که ناگهان مرد ناشناس... فکر نکنید فقط شب‌ها آزار اتفاق می‌افته. در محل کار و تحصیل آزار جنسی نباید نادیده گرفته بشه. https://t.co/4306707,"آزار_جنسی,لرستان","women5364,nazi.ahmad"
nastoohbanoo,"Jul 08, 2018",سیکتیر بابا در مورد زن زندگی آزادی تو خفه شو در حدش نیستی حرف بزنی #KingRezaPahlavi #جاویدشاه #RiseIran #اعتراضات_سراسری شب‌غروب,"KingRezaPahlavi,جاویدشاه,RiseIran,اعتراضات_سراسری",
women_human,"Dec 20, 2026",پلیس از بازداشت متهم متلک جنسی دختر خبر داد. حادثه ساعت ۱۰ پیش از ظهر واگن مترو تبریز رخ داده. در ساعات روز هم این اتفاق‌ها میفته.,,
voice601,"Nov 20, 2016",نمیدونم چی بگم. ساعت ۲۱ شب در تاکسی آژانس تبریز راننده اسنپ بهم خیره شدن جنسی کرد. در اماکن عمومی هیچ نظارتی نیست. شب وقت بیشترین گزارش‌های آزار جنسی هست.,,
M_Rajavi_Iran,"Sep 09, 2023",در #روز_جهانی_منع_خشونت_علیه_زنان، به یاد همه زنانی هستیم که در این سال با ستم و سرکوب هدف قرار گرفتند. خشونت و سرکوب، زنان را در همه عرصه‌ها هدف قرار می‌دهد. طی بیش از ۴دهه رژیم زن‌ستیز آخوندی ده‌ها هزار زن مخالف را زندانی حدود ساعت ۱۰، شکنجه یا اعدام کرده است. هم‌اکنون نیز زنان در زندان,روز_جهانی_منع_خشونت_علیه_زنان,
obs894,"Dec 13, 2021",دیروز ساعت ۱۵ بعدازظهر در اداره دولتی شهر قزوین مورد خیره شدن جنسی قرار گرفتم. یک رئیس بدون هیچ ترس روزها هم آزار جنسی خیلی زیاده. تا کی باید تحمل کنیم؟,حقوق_زنان,"tehran8793,tehran462"
me_too_iran,"Apr 22, 2024",روایت اول از آزارگری عرشیا شادمان مهر ❌خواندن این روایت برای همه مناسب نیست❌ «در توییتر با او آشنا شدم. به‌خاطر نام کاربری جالبی که داشت؛ «غلط‌گیر توییتر». در مکالماتی که داشتیم دائم تأکید می‌کرد: «من هیچ‌کسی را در زندگیم ندارم» و وقتی از او می‌پرسیدم: «چه نوع رابطه‌ای می حدود ساعت ۱۵ در تاکسی آژانس,,
free6028,"Apr 23, 2018",ادعانامه علیه استاد که پیش از ظهر دانشگاه قزوین مرتکب آزار جنسی فیزیکی شده صادر شد. قربانی زن بوده. در محیط کاری باید قوانین سخت‌گیرانه‌تری باشه.,زن_زندگی_آزادی,
news286,"Jun 18, 2026",روایتی از عکسبرداری ناخواسته در اردبیل: ظهر حدود ساعت ۱۲ در اتوبوس اردبیل زنی مورد آزار قرار گرفت. روزها هم آزار جنسی خیلی زیاده. متهم هنوز دستگیر نشده.,آزار_جنسی,
voice472,"Jun 01, 2022",واقعاً متاسفم. ساعت ۲۱ شب در کلانتری زاهدان نزدیک شدن ناخواسته اتفاق افتاد و قربانی دختر بود. ساعات شب خطر آزار جنسی بالاتره. در محیط کاری باید قوانین سخت‌گیرانه‌تری باشه.,آزار_جنسی,
manamoon53,"Jul 08, 2022",حقیقتا عقل ندارین راحتین. به عنوان پیرو دینی که تو فقهش عقد و آزار جنسی کودک از بدو تولد هست زیاد شکر میخوری حدود ساعت ۱۹ در مشهد,,
iran630,"Aug 14, 2022",واقعاً خسته شدم. ساعت ۱۷ عصر در هتل شهر بیرجند بازم آزار جنسی کلامی شنیدم. نوجوان قربانی بوده. غروب وقت گذار بین امنیت روز و ناامنی شب. مکان نیمه‌عمومی اصلاً امن نیست.,,obs470
dw_persian,"Aug 26, 2018","رئیس اتحادیه هتلداران خراسان رضوی ""استفاده جنسی مردان عراقی از زنان ایران"" را تایید کرد در ۶ هزار واحد مسکونی در مشهد موسوم به ""خانه مسافر"" به مسافران عراقی ""خدمات جنسی"" ارائه می‌شود. این موضوع مورد تأیید مسئولان است شب‌غروب. https://t.co/eBv8qofyzi https://t.co/uOVvlFiPMI",,
aliayat61267230,"Mar 14, 2025",صهیونیست ها در تجاوز ۱۲روزه به ایران روی موشک‌های خود نوشتن برای #مهسا_امینی و زنان و دختران ایران را به خاک و خون کشیدند https://t.co/uSOQOgA9Xl,مهسا_امینی,
free.mina,"Jun 10, 2021",واقعاً خسته شدم. ساعت ۱۲ ظهر در شرکت شهر بابل دوبار تماس فیزیکی ناخواسته شدم. فکر نکنید فقط شب‌ها آزار اتفاق می‌افته. در محیط کاری باید قوانین سخت‌گیرانه‌تری باشه.,,
amir1897,"May 19, 2024",دادگاه: مسافر مرد مرتکب عکسبرداری ناخواسته زن جوان در مترو شهر اصفهان شده. حادثه ساعت ۱۰ پیش از ظهر بوده. مکان‌های عمومی شهر ناامن هستند.,مترو_ناامن,
ahmad817,"Nov 27, 2025",تا کی باید محیط کاری نگران امنیت باشیم؟ آخرین مورد: ظهر حدود ساعت ۱۲ در راهروی مدرسه ارومیه زن شاغلی آزار جنسی فیزیکی شده. در ساعات روز هم این اتفاق‌ها میفته.,"آزار_جنسی,زن_زندگی_آزادی",
AlainPersian,"Feb 08, 2022",مأموران همان شب با بررسی دوربین‌ها به مردی ۳۸ ساله مشکوک شدند و او را بازداشت کردند. متهم ابتدا هرگونه دخالت را انکار کرد، اما صبح روز بعد اعتراف کرد با قصد اذیت و آزار جنسی، کودک را ربوده در خیابان فردوسی، پس از تجاوز به قتل رسانده و پیکر را در اطراف شهر رها کرده است. این جسد دو روز بعد پیدا شد. https://t.co/IZpL3v1b4L,,
zahra94,"Jun 06, 2018",فضای عمومی برای زنان ناامنه. همین صبح تاکسی آژانس همدان زن شاغلی آزار جنسی کلامی شد. در ساعات روز هم این اتفاق‌ها میفته.,امنیت_زنان,
human8766,"Aug 05, 2023",قربانی تماس فیزیکی ناخواسته خیابان فردوسی کرج تعریف می‌کنه: صبح بودم که ناگهان مرد... روزها هم آزار جنسی خیلی زیاده. در اماکن عمومی هیچ نظارتی نیست.,,
nazi219,"Feb 07, 2019",شاهد حادثه نزدیک شدن ناخواسته در بیمارستان زاهدان بودم. صبح نوجوانی کمک می‌خواست ولی... در ساعات روز هم این اتفاق‌ها میفته. محیط کاری باید تغییر کنه.,,
report4396,"Oct 06, 2023",نکنه من تنها کسی هستم که ظهر حدود ساعت ۱۲ در شرکت ونکوور تماس فیزیکی ناخواسته شده؟ در ساعات روز هم این اتفاق‌ها میفته. زنها باید قوی‌تر باشن.,,
justice5275,"Apr 09, 2021",دادگاه: نگهبان پارک مرتکب تفقی زن در پارک شهر اصفهان شده. حادثه عصر حدود ساعت ۱۷ بوده. مکان‌های عمومی شهر ناامن هستند.,,persian_maryam
PwrRwdsry,"Dec 28, 2023",بخدا من موندم چی بگم این عمل زشت اونم از طرف پدر روان بچه رو داغون میکنه این بچه در آینده چه هیولایی باید بشه که ضررش به جامعه باز خواهد گشت تمام جانیان در بچگی مورد اذیت آزار جنسی قرار گرفتند ایکاش نمیدیدم ذهنم درگیر و داغونه😭😭😭😭😭😭 در لندن,,
free934,"May 23, 2017",پیش از ظهر حدود ساعت ۱۰ در دانشگاه شریف رشت آزار جنسی کلامی رو تجربه کردم. این بار شکایت کردم. فکر نکنید فقط شب‌ها آزار اتفاق می‌افته.,,mehdi967
free_justice,"Feb 19, 2018",بازداشت متهم دنبال کردن در کلن آلمان. حادثه بعدازظهر حدود ساعت ۱۵ در شرکت کلن آلمان رخ داده. قربانی زن شاغل گزارش داده. محیط سازمانی باید امن‌تر بشه.,زن_زندگی_آزادی,
news421,"Aug 16, 2019",بازداشت متهم متلک جنسی در رشت. حادثه ساعت ۱۲ ظهر در پله‌برقی رشت رخ داده. قربانی زن جوان گزارش داده. در اماکن عمومی هیچ نظارتی نیست.,آزار_کلامی,
Makhmal_1359,"Oct 28, 2022",@uchihaacurse یعنی میفرمایید جریان میهن دوست به بقای سپاه و خامنه ای کمک کرد ؟! مانع از این شد که ج ا توسط چپها و گلوبالیسم جهانی سقوط کنه؟ قبلنا میهن دوستی با کشتار مردم تجاوز جنسی به شهروندان و حمله به مدارس دخترانه تعریف نمیشد... بعد هم که بهتون میگن «سطلی سپاهی» ناراحت میشید‌🤦‍♂️🤦‍♂️ https://t.co/J2g02q3oYe,,uchihaacurse
right320,"Dec 04, 2019",#آزار_بس! عصر کافه تهران کودکی متلک جنسی شد. با شروع تاریکی امنیت کمتر میشه. فضای عمومی باید امن‌تر بشه.,,
fatemeh_maryam,"Sep 26, 2025",#آزار_بس! پیش از ظهر پارک ملت تبریز زنی متلک جنسی شد. روزها هم آزار جنسی خیلی زیاده. فضای عمومی باید امن‌تر بشه.,زن_زندگی_آزادی,
watch989,"Jun 02, 2025",#آزار_بس! ظهر در تاکسی کرج زنی تهدید جنسی شد. حتی روشنای روز هم جلوی آزار رو نمی‌گیره. فضای عمومی باید امن‌تر بشه. https://t.co/ae12cc,,
justice3676,"Apr 13, 2017",#آزار_بس! ساعت ۱۰ پیش از ظهر در مترو کرمانشاه زنی آزار جنسی کلامی شد. در ساعات روز هم این اتفاق‌ها میفته. فضای عمومی باید امن‌تر بشه.,مترو_ناامن,voice610
hasan172,"Feb 07, 2023",ادعانامه علیه مرد ناشناس که ظهر حدود ساعت ۱۲ سکوی مترو تهران مرتکب تماس فیزیکی ناخواسته شده صادر شد. قربانی مرد بوده. در اماکن عمومی هیچ نظارتی نیست.,,"voice_fatemeh,student9273"
persian7499,"Nov 17, 2022",محیط کاری برای زنان ناامنه. همین ساعت ۱۵ بعدازظهر محل کار هرات کودکی نگاه خیره جنسی شد. در ساعات روز هم این اتفاق‌ها میفته.,,
faceless709,"May 12, 2023",شما حتی اطلاع ندارید اماری که از غرب میاد روی چه فاکتورهایی است و فقط میگید غرب بده،اگر طبق فاکتورهای غرب میزان آزار جنسی در ایران رو اندازه گیری کنید به رقمی چند صد برابر غرب میرسید ، فقط چند خط گوگل کن شاید متوجه بشی ، البته شما پیرو‌اسلام و عقد دختر باکره قبل اعدام هستی حدود ساعت ۲۱ در خیابان حافظ,,
BanafshehJamali,"Oct 21, 2025",متاسفانه آنقدر تجاوز و آزار جنسی در ایران برای متجاوزینی که اسم و رسمی برای خود دارند، عواقب جدی نداشته که امثال #پژمان_جمشیدی به راحتی به یک دختر کم سن و سال تجاوز میکنند. آنها میدانند مانند فرهاد اصلانی، آیدین آغداشلو همکاران و طرفدارانشان برای آنها سینه سپر خواهند کرد و فرد,پژمان_جمشیدی,
