Username,Date,Tweet Text,Hashtags,Mentions,Date_parsed,Year,Month,Day,Hour,DayOfWeek,WeekDayName,Season,YearMonth,Iran_Relevance,Event_Hour,Time_of_Day,Cities,Locations,Environment_Type,Harassment_Types,Emotions,Is_Victim_Blaming,Narrative_Type,Solutions,Inferred_Gender,Gender_Confidence,Men_Stance,Toxicity_Score_Original,Toxicity_Score
mhd2733,"Dec 14, 2021",پلیس از بازداشت متهم آزار در برابر جنسی زن خبر داد. حادثه نیمه‌شب در تاکسی آژانس شهر سنندج رخ داده. بعد از غروب آفتاب امنیت زنان کاهش می‌یابه. https://t.co/2070197,"زن_زندگی_آزادی,تاکسی_ناامن",,2021-12-14,2021,12,14,0,1,Tuesday,Winter,2021-12,Iran,,Night,['Sanandaj'],"['Taxi', 'Prison']",Transport,['Unclassified'],['Neutral'],False,News/Report,['Security/CCTV'],Female,0.7,,0.0,0.0
news51,"Sep 20, 2025",گزارش: بعدازظهر بی‌آرتی تهران حادثه تماس فیزیکی ناخواسته رخ داد. قربانی نوجوان و متهم راننده اتوبوس بوده. مکان‌های عمومی شهر ناامن هستند. روزها هم آزار جنسی خیلی زیاده.,آزار_بس,,2025-09-20,2025,9,20,0,5,Saturday,Fall,2025-09,Iran,,Afternoon,['Tehran'],['Metro/Bus'],Transport,['Physical Harassment'],['Fear'],False,News/Report,,Unknown,0.0,,0.0,0.0
news2634,"May 26, 2025",آمار تماس فیزیکی ناخواسته در تهران نگران‌کننده است. آخرین مورد ساعت ۸ صبح در استخر تهران رخ داده. حتی روشنای روز هم جلوی آزار رو نمی‌گیره.,,,2025-05-26,2025,5,26,0,0,Monday,Spring,2025-05,Iran,8.0,Morning,['Tehran'],,Unknown,['Physical Harassment'],['Neutral'],False,Public Opinion/Reshare,,Unknown,0.0,,0.0,0.0
hasan847,"Aug 21, 2019",واقعاً خسته شدم. شب در پارک دانشجو شهر اصفهان بازم نگاه خیره جنسی شنیدم. دختر جوان قربانی بوده. بعد از غروب آفتاب امنیت زنان کاهش می‌یابه. فضای عمومی اصلاً امن نیست.,,,2019-08-21,2019,8,21,0,2,Wednesday,Summer,2019-08,Iran,,Night,['Isfahan'],['Park'],Public,['Unclassified'],['Neutral'],False,First-person (Victim),,Female,0.7,,0.0,0.0
farsi8106,"Aug 17, 2023",نمیدونم چی بگم. ساعت ۱۵ بعدازظهر در پارک لاله زاهدان گروهی از مردان بهم نگاه خیره جنسی کرد. مکان‌های عمومی شهر ناامن هستند. در ساعات روز هم این اتفاق‌ها میفته.,,human315,2023-08-17,2023,8,17,0,3,Thursday,Summer,2023-08,Iran,15.0,Afternoon,['Zahedan'],['Park'],Public,['Unclassified'],['Fear'],False,First-person (Victim),,Unknown,0.0,,0.0,0.0
ahmad3915,"Jul 02, 2024",هر روز ترس بیشتر. عصر حدود ساعت ۱۷ خیابان اصفهان نگاه خیره جنسی شدم. با شروع تاریکی امنیت کمتر میشه. مکان‌های عمومی شهر ناامن هستند.,,"farsi_iran,iran5106",2024-07-02,2024,7,2,0,1,Tuesday,Summer,2024-07,Iran,17.0,Evening,['Isfahan'],['Street'],Public,['Unclassified'],['Fear'],False,First-person (Victim),,Unknown,0.0,,0.0,0.0
right614,"Aug 16, 2026",آمار دنبال کردن در تبریز نگران‌کننده است. آخرین مورد ساعت ۱۷ عصر در بازار بزرگ تبریز رخ داده. با شروع تاریکی امنیت کمتر میشه.,,,2026-08-16,2026,8,16,0,6,Sunday,Summer,2026-08,Iran,17.0,Evening,['Tabriz'],['Market'],Public,['Unclassified'],['Neutral'],False,Public Opinion/Reshare,,Unknown,0.0,,0.0,0.0
mohsen_ali,"Oct 13, 2024",دیروز ساعت ۲۱ شب در پارک اصفهان مورد متلک جنسی قرار گرفتم. یک نگهبان پارک بدون هیچ ترس بعد از غروب آفتاب امنیت زنان کاهش می‌یابه. تا کی باید تحمل کنیم؟,زن_زندگی_آزادی,right843,2024-10-13,2024,10,13,0,6,Sunday,Fall,2024-10,Iran,21.0,Night,['Isfahan'],['Park'],Public,['Verbal Harassment'],['Fear'],False,Public Opinion/Reshare,,Male,0.9,Neutral/Unclassified,0.0,0.0
narges559,"Feb 10, 2026",هر روز ترس بیشتر. پیش از ظهر حدود ساعت ۱۰ در خیابان شهر تهران تجاوز جنسی شدم. در ساعات روز هم این اتفاق‌ها میفته. در اماکن عمومی هیچ نظارتی نیست.,,"ahmad3032,mehdi.parvin",2026-02-10,2026,2,10,0,1,Tuesday,Winter,2026-02,Iran,10.0,Afternoon,['Tehran'],['Street'],Public,['Sexual Assault/Rape'],['Fear'],False,First-person (Victim),['Security/CCTV'],Female,0.9,,0.0,0.0
maryam3935,"Sep 05, 2019",خبر: مسافر مرد به اتهام اظهارنظر جنسی زن جوان در راهروی هتل شهر ساری بازداشت شد. ماجرا ساعت ۱۹ شب‌غروب اتفاق افتاده. حتی در فضاهای نیمه‌عمومی امنیت نیست.,,reza1969,2019-09-05,2019,9,5,0,3,Thursday,Fall,2019-09,Iran,19.0,Night,['Sari'],['Prison'],Organizational,['Verbal Harassment'],['Neutral'],False,News/Report,,Female,0.9,,0.0,0.0
obs.farhi,"Feb 23, 2023",شاهد حادثه تهدید جنسی در بیمارستان شهر تهران بودم. ساعت ۱۲ ظهر زنی کمک می‌خواست ولی... فکر نکنید فقط شب‌ها آزار اتفاق می‌افته. محیط کاری باید تغییر کنه.,زن_زندگی_آزادی,,2023-02-23,2023,2,23,0,3,Thursday,Winter,2023-02,Iran,12.0,Afternoon,['Tehran'],['Hospital/Clinic'],Organizational,['Unclassified'],['Hope'],False,Public Opinion/Reshare,,Female,0.7,,0.0,0.0
voice328,"Oct 11, 2023",شکایت دختر از فروشنده به اتهام اظهارنظر جنسی در مجتمع تجری شهر کرج ثبت شد. ماجرا ساعت ۱۹ شب‌غروب رخ داده. فضای عمومی باید برای همه امن باشه.,,,2023-10-11,2023,10,11,0,2,Wednesday,Fall,2023-10,Iran,19.0,Night,['Karaj'],['Mall'],Public,['Verbal Harassment'],['Neutral'],False,First-person (Victim),,Female,0.7,,0.0,0.0
voice142,"Jan 12, 2023",هر روز ترس بیشتر. ساعت ۱۰ پیش از ظهر در پارک شاه‌گولی تهران آزار جنسی کلامی شدم. در ساعات روز هم این اتفاق‌ها میفته. در اماکن عمومی هیچ نظارتی نیست.,"آزار_جنسی,پارک_ناامن",,2023-01-12,2023,1,12,0,3,Thursday,Winter,2023-01,Iran,10.0,Afternoon,['Tehran'],['Park'],Public,['Unclassified'],['Fear'],False,First-person (Victim),['Security/CCTV'],Unknown,0.0,,0.0,0.0
tehran3374,"Apr 13, 2023",نکنه من تنها کسی هستم که صبح در کلانتری شیراز تماس فیزیکی ناخواسته شده؟ در ساعات روز هم این اتفاق‌ها میفته. دانشجوها باید قوی‌تر باشن.,,sara896,2023-04-13,2023,4,13,0,3,Thursday,Spring,2023-04,Iran,,Morning,['Shiraz'],['Prison'],Organizational,['Physical Harassment'],['Neutral'],False,First-person (Victim),,Unknown,0.0,,0.0,0.0
farshadbeh88462,"Mar 14, 2025",@JavidNamjou @esmailei پروژه حکومتی رژیمه و از عوامل منافقین خلق ،نرگی محمدی همجنسباز که در زندان به دختران جوان تجاوز جنسی میکرد از این قماش منافقین ،بله منافقین بهترین اسمه بعدازظهر,,"JavidNamjou,esmailei",2025-03-14,2025,3,14,0,4,Friday,Spring,2025-03,Iran,,Afternoon,['Qom'],['Prison'],Organizational,['Sexual Assault/Rape'],['Neutral'],False,Public Opinion/Reshare,,Female,0.7,,0.0,0.0
hasan5491,"Apr 27, 2022",قربانی آزار جنسی فیزیکی دانشگاه لرستان تعریف می‌کنه: عصر بودم که ناگهان کارمند دانشگاه... با شروع تاریکی امنیت کمتر میشه. محیط سازمانی باید امن‌تر بشه.,,,2022-04-27,2022,4,27,0,2,Wednesday,Spring,2022-04,Iran,,Evening,['Lorestan'],['University'],Organizational,['Institutional Harassment'],['Neutral'],False,Public Opinion/Reshare,,Unknown,0.0,,0.0,0.0
mashhad432,"Oct 05, 2017",واقعاً متاسفم. شب در در خیابان ولیعصر شهر شیراز ربودن با هدف جنسی اتفاق افتاد و قربانی زن بود. شب‌ها امنیت برای زنان خیلی کمتره. مکان‌های عمومی شهر ناامن هستند.,,,2017-10-05,2017,10,5,0,3,Thursday,Fall,2017-10,Iran,,Evening,['Shiraz'],['Street'],Public,['Unclassified'],"['Fear', 'Sadness', 'Empathy']",False,First-person (Victim),,Female,0.7,,0.05,0.05
mhd505,"Dec 25, 2025",واقعاً متاسفم. شب‌غروب حدود ساعت ۱۹ در در خیابان تهران نزدیک شدن ناخواسته اتفاق افتاد و قربانی زن شاغل بود. شب وقت بیشترین گزارش‌های آزار جنسی هست. در اماکن عمومی هیچ نظارتی نیست.,"آزار_جنسی,زن_زندگی_آزادی",,2025-12-25,2025,12,25,0,3,Thursday,Winter,2025-12,Iran,19.0,Night,['Tehran'],['Street'],Public,['Physical Harassment'],"['Sadness', 'Empathy']",False,News/Report,['Security/CCTV'],Female,0.7,,0.05,0.05
mhd_shirin,"Jul 17, 2020",بیدار بشیم! بعدازظهر حدود ساعت ۱۵ در تاکسی شیراز زنی دنبال کردن شده. در ساعات روز هم این اتفاق‌ها میفته. فضای عمومی ایمن نیست.,,girl9992,2020-07-17,2020,7,17,0,4,Friday,Summer,2020-07,Iran,15.0,Afternoon,['Shiraz'],['Taxi'],Transport,['Unclassified'],['Neutral'],False,First-person (Victim),,Female,0.7,,0.0,0.0
theninewish,"Mar 05, 2022",🤦🏼 مملکته : 🔻 وبسایت انصاف‌نیوز: دادگاه رابطه مدیرکل سابق ارشاد گیلان را عدم دخول کامل تشخیص داد https://t.co/wEQyyfqHRGوبسایت-انصاف‌نیوز-دادگاه-رابطه-مدیرکل-سابق-ارشاد-گیلان-را-عدم-دخول-کامل-تشخیص-داد-09-17 رسانه‌های ایران گزارش دادند دادگاه در پرونده‌ رابطه جنسی رضا ثقتی در رشت،,,,2022-03-05,2022,3,5,0,5,Saturday,Spring,2022-03,Iran,,,['Rasht'],,Unknown,['Institutional Harassment'],['Neutral'],False,News/Report,,Male,0.5,Neutral/Unclassified,0.0,0.0
Mozhdeh_me,"Dec 31, 2019",۳) که چرا من باید آرزو کنم اون ها ارمنی باشن یا هر چی می‌خوان باشن فقط ایرانی نباشن. چقدر تا حالا تو خیابون از پسرها حرف شنیدیم، چقدر اذیت شدیم بابت نگاهشون، چقدر آزار جنسی کلامی دیدیم. نکنید آقا نکنید! سال ۲۰۲۰ شد شب‌غروب. کی می‌خوایم یاد بگیریم؟ از ماست که بر ماست.,,,2019-12-31,2019,12,31,0,1,Tuesday,Winter,2019-12,Iran,,Night,,,Unknown,['Unclassified'],['Neutral'],False,First-person (Victim),,Male,0.7,Justification,0.0,0.0
mashhad_hossein,"Feb 22, 2026",خبر: مرد ناشناس به اتهام آزار جنسی فیزیکی زن در سینما تبریز بازداشت شد. ماجرا ساعت ۱۵ بعدازظهر اتفاق افتاده. مکان‌های عمومی شهر ناامن هستند.,زن_زندگی_آزادی,,2026-02-22,2026,2,22,0,6,Sunday,Winter,2026-02,Iran,15.0,Afternoon,['Tabriz'],['Prison'],Organizational,['Unclassified'],['Fear'],False,First-person (Victim),,Female,0.7,,0.0,0.0
voice167,"Jan 10, 2025",فضای عمومی برای زنان ناامنه. همین شب‌غروب در پارک رازی تهران زنی نزدیک شدن ناخواسته شد. شب‌ها امنیت برای زنان خیلی کمتره.,پارک_ناامن,,2025-01-10,2025,1,10,0,4,Friday,Winter,2025-01,Iran,,Night,['Tehran'],['Park'],Public,['Physical Harassment'],['Fear'],False,Public Opinion/Reshare,,Female,0.7,,0.0,0.0
maryam_light,"Jul 03, 2025",روایتی از اظهارنظر جنسی در ارومیه: ساعت ۱۵ بعدازظهر در سینما شهر ارومیه نوجوانی مورد آزار قرار گرفت. روزها هم آزار جنسی خیلی زیاده. متهم هنوز دستگیر نشده.,,,2025-07-03,2025,7,3,0,3,Thursday,Summer,2025-07,Iran,15.0,Afternoon,['Urmia'],,Unknown,['Verbal Harassment'],['Neutral'],False,Public Opinion/Reshare,,Female,0.9,,0.0,0.0
girl112,"Nov 07, 2022",دادگاه: مسافر مرد مرتکب سوت زدن و متلک زن در مترو مشهد شده. حادثه ظهر حدود ساعت ۱۲ بوده. مکان‌های عمومی شهر ناامن هستند. https://t.co/33f19a6,,,2022-11-07,2022,11,7,0,0,Monday,Fall,2022-11,Iran,12.0,Afternoon,['Mashhad'],['Metro/Bus'],Transport,['Verbal Harassment'],['Fear'],False,First-person (Victim),,Female,0.9,,0.0,0.0
dw_persian,"Dec 30, 2021",گیلین ماکسول، به اتهام همکاری با جفری اپستین، میلیاردر آمریکایی متهم به سوءاستفاده جنسی از دختران نوجوان محکوم شد. اپستین که به آزار جنسی دختران زیر سن قانونی متهم شده بود در اردبیل، سال ۲۰۱۹ در زندان خودکشی کرد.,,,2021-12-30,2021,12,30,0,3,Thursday,Winter,2021-12,Mixed,,,['Ardabil'],['Prison'],Organizational,['Institutional Harassment'],['Disgust'],False,Public Opinion/Reshare,['Law Reform'],Female,0.7,,0.15,0.3
Oldleblanc,"May 15, 2024",عموم مردا قبول کنن یا نه، این مساله کاملا درسته. متلک، آزار جنسی، نزدیک شدن بی اجازه و لمس کردن، فلش کردن، گشت ارشاد، توهین‌های افرادی که قانون و نیروی پلیس رو پشت‌شون دارن، آزادی به شدت محدود پوشش و تابو بودن شهرگردی دختر تنها تمام‌شون مشکلایی ن که مردا تو ایران تجربه نمی‌کنن. حدود ساعت ۱۵,,,2024-05-15,2024,5,15,0,2,Wednesday,Spring,2024-05,Iran,15.0,,,['University'],Organizational,"['Verbal Harassment', 'Physical Harassment']",['Neutral'],False,Public Opinion/Reshare,"['Law Reform', 'Security/CCTV']",Female,0.7,,0.0,0.0
zahra5096,"Jul 17, 2023",آمار سوت زدن و متلک در قم نگران‌کننده است. آخرین مورد پیش از ظهر حدود ساعت ۱۰ در پارک قم رخ داده. حتی روشنای روز هم جلوی آزار رو نمی‌گیره. https://t.co/1400418,آزار_کلامی,,2023-07-17,2023,7,17,0,0,Monday,Summer,2023-07,Iran,10.0,Afternoon,['Qom'],['Park'],Public,['Verbal Harassment'],['Neutral'],False,Public Opinion/Reshare,,Female,0.9,,0.0,0.0
sara9112,"Feb 21, 2021",ادعانامه علیه مهاجم که پیش از ظهر پارک دانشجو کرمانشاه مرتکب تفقی شده صادر شد. قربانی دختر بوده. در اماکن عمومی هیچ نظارتی نیست.,کرمانشاه,,2021-02-21,2021,2,21,0,6,Sunday,Winter,2021-02,Iran,,Afternoon,"['Kermanshah', 'Kerman']",['Park'],Public,['Unclassified'],['Neutral'],False,Public Opinion/Reshare,['Security/CCTV'],Female,0.9,,0.0,0.0
mhd_zahra,"Jul 23, 2022",گزارش: عصر حدود ساعت ۱۷ در دانشگاه شهر اهواز حادثه اظهارنظر جنسی رخ داد. قربانی کودک و متهم دانشجوی مرد بوده. در محیط کاری باید قوانین سخت‌گیرانه‌تری باشه. با شروع تاریکی امنیت کمتر میشه.,امنیت_زنان,,2022-07-23,2022,7,23,0,5,Saturday,Summer,2022-07,Iran,17.0,Evening,['Ahvaz'],['University'],Organizational,"['Verbal Harassment', 'Institutional Harassment']",['Neutral'],False,News/Report,['Law Reform'],Female,0.9,,0.0,0.0
sara.mhd,"Jun 24, 2021",دیروز ظهر حدود ساعت ۱۲ پله‌برقی ارومیه مورد تفقی قرار گرفتم. یک مرد ناشناس بدون هیچ ترس حتی روشنای روز هم جلوی آزار رو نمی‌گیره. تا کی باید تحمل کنیم؟,امنیت_زنان,"voice2835,saeed5319",2021-06-24,2021,6,24,0,3,Thursday,Summer,2021-06,Iran,12.0,Afternoon,['Urmia'],,Unknown,['Unclassified'],['Fear'],False,Public Opinion/Reshare,,Female,0.9,,0.0,0.0
farhi353,"Jan 26, 2019",پلیس از بازداشت متهم آزار جنسی فیزیکی مرد خبر داد. حادثه شب حدود ساعت ۲۱ در کلانتری شهر قم رخ داده. ساعات شب خطر آزار جنسی بالاتره. https://t.co/203bddd,آزار_جنسی,"hamid8432,persian269",2019-01-26,2019,1,26,0,5,Saturday,Winter,2019-01,Iran,21.0,Night,['Qom'],['Prison'],Organizational,['Unclassified'],['Neutral'],False,News/Report,['Security/CCTV'],Male,0.7,Neutral/Unclassified,0.0,0.0
nazi1566,"Jul 10, 2018",خبر: مهاجم به اتهام آزار جنسی کلامی دختر جوان در پارک شهر بندرعباس بازداشت شد. ماجرا صبح اتفاق افتاده. فضای عمومی باید برای همه امن باشه.,"پارک_ناامن,بندرعباس","hossein353,farsi151",2018-07-10,2018,7,10,0,1,Tuesday,Summer,2018-07,Iran,,Morning,['Bandar Abbas'],"['Park', 'Prison']",Public,['Unclassified'],['Neutral'],False,First-person (Victim),,Female,0.7,,0.0,0.0
tehran350,"Dec 04, 2022",گزارش: ساعات پایانی شب حدود ساعت ۲ در زندان شهر گرگان حادثه آزار جنسی فیزیکی رخ داد. قربانی زن و متهم مسئول زندان بوده. در محیط کاری باید قوانین سخت‌گیرانه‌تری باشه. شب وقت بیشترین گزارش‌های آزار جنسی هست.,,,2022-12-04,2022,12,4,0,6,Sunday,Winter,2022-12,Iran,2.0,Night,['Gorgan'],['Prison'],Organizational,['Unclassified'],['Neutral'],False,News/Report,['Law Reform'],Female,0.7,,0.0,0.0
maryam.shirin,"Nov 07, 2019",باز هم خبر تماس فیزیکی ناخواسته! این بار ساعت ۲۳ نیمه‌شب کلانتری تهران. قربانی زن بوده. در تاریکی شب آزارگران جرأت بیشتری دارن. تا کی محیط کاری ناامن باشه؟,,,2019-11-07,2019,11,7,0,3,Thursday,Fall,2019-11,Iran,23.0,Night,['Tehran'],['Prison'],Organizational,['Physical Harassment'],['Fear'],False,First-person (Victim),,Female,0.9,,0.0,0.0
life1335,"Aug 13, 2026",قربانی تهدید جنسی در تاکسی شهر کرج تعریف می‌کنه: ساعت ۱۷ عصر بودم که ناگهان مسافر مرد... با شروع تاریکی امنیت کمتر میشه. فضای عمومی باید برای همه امن باشه.,کرج,hossein2887,2026-08-13,2026,8,13,0,3,Thursday,Summer,2026-08,Iran,17.0,Evening,['Karaj'],['Taxi'],Transport,['Unclassified'],['Neutral'],False,First-person (Victim),,Unknown,0.0,,0.0,0.0
free934,"Apr 12, 2024",#آزار_بس! شب‌غروب در مترو شهر اهواز دختری اظهارنظر جنسی شد. شب‌ها امنیت برای زنان خیلی کمتره. فضای عمومی باید امن‌تر بشه.,زن_زندگی_آزادی,,2024-04-12,2024,4,12,0,4,Friday,Spring,2024-04,Iran,,Night,['Ahvaz'],['Metro/Bus'],Transport,['Verbal Harassment'],['Neutral'],False,Public Opinion/Reshare,,Female,0.7,,0.0,0.0
Zebr4a,"Dec 31, 2023",خبر مهمی که در تسنیم در۹دی۱۴۰۲ نوشته شده و من را بیش از پیش نگران میکنه حالا راه چسبوندن سلاح را به مردم دارند ایجاد میکنند توسط کولبران! برای #کوردستان و کل مردم ایران این خبر خطرناکه! #زن_زندگی_آزادی #ژینا_مهسا_امینی #از_کوردستان_بگو ۱۰دی۱۴۰۲ در خیابان,"کوردستان,زن_زندگی_آزادی,ژینا_مهسا_امینی,از_کوردستان_بگو",,2023-12-31,2023,12,31,0,6,Sunday,Winter,2023-12,Iran,,,,"['Street', 'University']",Public,['Unclassified'],['Neutral'],False,First-person (Victim),['Self-Defense'],Female,0.5,,0.0,0.0
shirin836,"Dec 09, 2023",واقعاً خسته شدم. نیمه‌شب در خیابان ساری دوبار تماس فیزیکی ناخواسته شدم. ساعات شب خطر آزار جنسی بالاتره. فضای عمومی باید برای همه امن باشه.,,,2023-12-09,2023,12,9,0,5,Saturday,Winter,2023-12,Iran,,Night,['Sari'],['Street'],Public,['Physical Harassment'],['Neutral'],False,First-person (Victim),,Unknown,0.0,,0.0,0.0
mina9981,"Dec 07, 2016",فضای عمومی برای زنان ناامنه. همین ظهر واگن مترو تهران کودکی تماس فیزیکی ناخواسته شد. حتی روشنای روز هم جلوی آزار رو نمی‌گیره.,زن_زندگی_آزادی,,2016-12-07,2016,12,7,0,2,Wednesday,Winter,2016-12,Iran,,Afternoon,['Tehran'],['Metro/Bus'],Transport,['Physical Harassment'],['Fear'],False,Public Opinion/Reshare,,Female,0.9,,0.0,0.0
report_hope,"Apr 05, 2023",ادعانامه علیه عابر پیاده که شب حدود ساعت ۲۱ در خیابان کرمان مرتکب تجاوز جنسی شده صادر شد. قربانی دختر بوده. فضای عمومی باید برای همه امن باشه.,خیابان_ناامن,,2023-04-05,2023,4,5,0,2,Wednesday,Spring,2023-04,Iran,21.0,Night,['Kerman'],['Street'],Public,['Sexual Assault/Rape'],['Neutral'],False,First-person (Victim),,Female,0.7,,0.0,0.0
hra_news,"Aug 24, 2022",امروز چهارشنبه ۲ شهریور، فرمانده انتظامی مهاباد، از شناسایی و بازداشت یک متهم به آزار جنسی کودکان در یکی از پارک های این شهرستان، خبر داد. #آزار_جنسی #مهاباد https://t.co/4BNZWDu4hY,"آزار_جنسی,مهاباد",,2022-08-24,2022,8,24,0,2,Wednesday,Summer,2022-08,Iran,,,['Mahabad'],"['Park', 'Prison']",Public,['Unclassified'],['Neutral'],False,News/Report,,Unknown,0.0,,0.0,0.0
iran6915,"Apr 01, 2022",واقعاً متاسفم. شب حدود ساعت ۲۱ در در بیمارستان کرمانشاه متلک جنسی اتفاق افتاد و قربانی دختر بود. بعد از غروب آفتاب امنیت زنان کاهش می‌یابه. در محل کار و تحصیل آزار جنسی نباید نادیده گرفته بشه.,آزار_کلامی,,2022-04-01,2022,4,1,0,4,Friday,Spring,2022-04,Iran,21.0,Night,"['Kermanshah', 'Kerman']","['Workplace', 'Hospital/Clinic']",Organizational,"['Verbal Harassment', 'Institutional Harassment']","['Sadness', 'Empathy']",False,Public Opinion/Reshare,,Female,0.7,,0.05,0.05
ahmad1454,"Jul 04, 2016",مکان نیمه‌عمومی برای زنان ناامنه. همین بعدازظهر در استخر بندرانزلی دختر جوانی اظهارنظر جنسی شد. حتی روشنای روز هم جلوی آزار رو نمی‌گیره.,,,2016-07-04,2016,7,4,0,0,Monday,Summer,2016-07,Iran,,Afternoon,,['Prison'],Organizational,['Verbal Harassment'],['Fear'],False,Public Opinion/Reshare,,Female,0.7,,0.0,0.0
fatemeh829,"Jan 04, 2026",تا کی باید فضای عمومی نگران امنیت باشیم؟ آخرین مورد: عصر حدود ساعت ۱۷ خیابان کرمانشاه کودکی تجاوز جنسی شده. غروب وقت گذار بین امنیت روز و ناامنی شب.,خیابان_ناامن,,2026-01-04,2026,1,4,0,6,Sunday,Winter,2026-01,Iran,17.0,Evening,"['Kermanshah', 'Kerman']",['Street'],Public,['Sexual Assault/Rape'],['Fear'],False,Public Opinion/Reshare,,Female,0.9,,0.0,0.0
watch564,"Sep 10, 2017",واقعاً خسته شدم. صبح حدود ساعت ۸ در اداره دولتی شهر شیراز بازم تماس فیزیکی ناخواسته شنیدم. دختر قربانی بوده. در ساعات روز هم این اتفاق‌ها میفته. محیط کاری اصلاً امن نیست.,آزار_بس,"shirin1278,hope7560",2017-09-10,2017,9,10,0,6,Sunday,Fall,2017-09,Iran,8.0,Morning,['Shiraz'],['Workplace'],Organizational,['Physical Harassment'],['Neutral'],False,First-person (Victim),,Female,0.7,,0.0,0.0
hossein787,"Aug 06, 2025",تا کی باید فضای عمومی نگران امنیت باشیم؟ آخرین مورد: شب‌غروب حدود ساعت ۱۹ در پارک لاله اصفهان زنی ربودن با هدف جنسی شده. در تاریکی شب آزارگران جرأت بیشتری دارن.,زن_زندگی_آزادی,,2025-08-06,2025,8,6,0,2,Wednesday,Summer,2025-08,Iran,19.0,Night,['Isfahan'],['Park'],Public,['Unclassified'],['Neutral'],False,Public Opinion/Reshare,,Female,0.7,,0.0,0.0
parvin_mohsen,"Sep 11, 2020",باز هم خبر سوت زدن و متلک! این بار پیش از ظهر در مترو شهر تهران. قربانی کودک بوده. حتی روشنای روز هم جلوی آزار رو نمی‌گیره. تا کی فضای عمومی ناامن باشه؟,حقوق_زنان,,2020-09-11,2020,9,11,0,4,Friday,Fall,2020-09,Iran,,Afternoon,['Tehran'],['Metro/Bus'],Transport,['Verbal Harassment'],['Fear'],False,First-person (Victim),,Unknown,0.0,,0.0,0.0
right2191,"Nov 08, 2024",واقعاً متاسفم. پیش از ظهر حدود ساعت ۱۰ در پارک شاه‌گولی اهواز آزار جنسی فیزیکی اتفاق افتاد و قربانی کودک بود. در ساعات روز هم این اتفاق‌ها میفته. فضای عمومی باید برای همه امن باشه.,,"farsi6572,student_amir",2024-11-08,2024,11,8,0,4,Friday,Fall,2024-11,Iran,10.0,Afternoon,['Ahvaz'],['Park'],Public,['Unclassified'],"['Sadness', 'Empathy']",False,First-person (Victim),,Unknown,0.0,,0.05,0.05
obs238,"Oct 27, 2024",شکایت دختر از راننده اتوبوس به اتهام آزار جنسی کلامی در اتوبوس شهری تهران ثبت شد. ماجرا شب‌غروب حدود ساعت ۱۹ رخ داده. فضای عمومی باید برای همه امن باشه.,,,2024-10-27,2024,10,27,0,6,Sunday,Fall,2024-10,Iran,19.0,Night,['Tehran'],['Metro/Bus'],Transport,['Unclassified'],['Neutral'],False,First-person (Victim),,Female,0.7,,0.0,0.0
nazi3106,"Oct 12, 2024",هر روز ترس بیشتر. پیش از ظهر حدود ساعت ۱۰ بی‌آرتی تهران متلک جنسی شدم. در ساعات روز هم این اتفاق‌ها میفته. فضای عمومی باید برای همه امن باشه.,آزار_کلامی,,2024-10-12,2024,10,12,0,5,Saturday,Fall,2024-10,Iran,10.0,Afternoon,['Tehran'],,Unknown,['Verbal Harassment'],['Fear'],False,First-person (Victim),,Unknown,0.0,,0.0,0.0
shirin402,"Apr 14, 2023",خبر: عابر پیاده به اتهام آزار جنسی فیزیکی زن در خیابان ارومیه بازداشت شد. ماجرا نیمه‌شب اتفاق افتاده. مکان‌های عمومی شهر ناامن هستند.,"زن_زندگی_آزادی,ارومیه",,2023-04-14,2023,4,14,0,4,Friday,Spring,2023-04,Iran,,Night,['Urmia'],"['Street', 'Prison']",Public,['Unclassified'],['Fear'],False,First-person (Victim),,Female,0.7,,0.0,0.0
saeed848,"Apr 25, 2026",شکایت زن از مرد به اتهام آزار جنسی فیزیکی در پارک شهر رشت ثبت شد. ماجرا صبح رخ داده. در اماکن عمومی هیچ نظارتی نیست.,زن_زندگی_آزادی,,2026-04-25,2026,4,25,0,5,Saturday,Spring,2026-04,Iran,,Morning,['Rasht'],['Park'],Public,['Unclassified'],['Neutral'],False,Public Opinion/Reshare,['Security/CCTV'],Male,0.9,Neutral/Unclassified,0.0,0.0
narges101,"Oct 16, 2026",#آزار_بس! عصر در پیاده‌رو زاهدان دختری سوت زدن و متلک شد. غروب وقت گذار بین امنیت روز و ناامنی شب. فضای عمومی باید امن‌تر بشه.,خیابان_ناامن,,2026-10-16,2026,10,16,0,4,Friday,Fall,2026-10,Iran,,Evening,['Zahedan'],,Unknown,['Verbal Harassment'],['Fear'],False,Public Opinion/Reshare,,Female,0.9,,0.0,0.0
parvin878,"Jun 01, 2022",گزارش: ساعت ۱۲ ظهر در مترو مشهد حادثه نزدیک شدن ناخواسته رخ داد. قربانی زن و متهم مرد ناشناس بوده. در اماکن عمومی هیچ نظارتی نیست. فکر نکنید فقط شب‌ها آزار اتفاق می‌افته.,مترو_ناامن,,2022-06-01,2022,6,1,0,2,Wednesday,Summer,2022-06,Iran,12.0,Afternoon,['Mashhad'],['Metro/Bus'],Transport,['Physical Harassment'],['Neutral'],False,News/Report,['Security/CCTV'],Female,0.7,,0.0,0.0
